abă	bras
abĭ	ou bien
abí	ou bien
abi	n'est-ce pas
abí	n'est ce pas
ablă	galette haricots
ablŏ	maïs
ablóò	maïs fermenté
ablù	obscurité
abɔhàn	bière
abɔkún	graine
abɔkwín	graine
abɔyiya	récolte
abɛsánwùn	bénédiction du sacrement
acakpòdji	cercle de discussion
acéjí	le quivive
acíayŏ	menthe
acídikwín	balisier
acídikwínma	balisier
acídikwíntín	balisier
acívi	cuillère
acúglὲnzĭn	cricétome
acúkpá	perroquet
acuta	friperie
acɔcì	langouste
acɔnkwín	c'est bien fait
acɔnkwín	tant pis
acɔyíbì	uniforme
acɛgbè	autorité
acɛgbigbà	faute
acɛgbigbà	péché
acɛkpikpà	règne
acɛkpikpà	pouvoir
adadò	latrines
adagbigbò	circoncision
adagli	largeur
adaká	méchanceté extrême
adăn	colère
adăn	fureur
adàngbómɛ	malheur
adàngbómɛ	détresse
adánmácyó	félicitations
adánmácyó	remerciements
adànwìwá	grondements
adawé	bambou
adawetín	bambou
adaɖé	moitié
adiì	mais
adiì	mais hélas
adimáxwé	criquet
adimúlà	très
adĭnbèsé	grenouille rainette
adingbàn	mensonge
adingbàn	calomnie
aditì	géant
aditì	impressionnant
adlà	monstre
adlà	malheur
adlají	successivement
adlokpò	margouillat
adò	peur
adodò	résignation
adodwé	authentique
adohùhù	peur
adohùhù	effroi
adohùhù	angoisse
adohuhu	inquiétude
adohuhu	angoisse
adohuhu	effroi
adohuhu	peur
adohumɛ	peur
adohumɛ	effroi
adohumɛ	angoisse
adŭn	saleté
adùngbígbò	malpropreté
adùngbígbò	malpropre
adɔgbó	estomac
adɔgbugbó	audace
adɔgò	ventre
adɔkpá	flanc
adɔndundɔn	rivalité
adɔsúsú	hoquet
adɔzán	natte nuit
afafà	eventail
aféfé	couleur bleue
afínétì	epingle
aflété	brochet
afluflwì	chauve-souris
afú	brimade
afù	aubaine
afútámɛ	brimade
afyankú	hippotrague
afyɔnxocí	amulette
afɔdenyidò	faux pas
afɔdò	empreinte
afɔdógbè	adultère
afɔfún	poils des jambes
afɔgà	enjambée
afɔgblăgblă	croc-en-jambe
afɔgódwé	chaussette
afɔgólì	coude-pied
afɔgólì	cheville
afɔgúdo	cheville
afɔkpà	chaussure
afɔkpà	soulier
afɔkpà	sandale
afɔkpà	pantoufle
afɔkpadò	empreinte chaussure
afɔkpagàn	eperon
afɔkpákpá	semelle
afɔkpákpá	plante des pieds
afɔkpákpájí	sur la plante des pieds
afɔkpasúnsúnnú	brosse à chaussure
