Fon_Sentence,French_Translation
é ɖò ayìjúnjɔ́n,elle est assis
mí ɖò ayìjúnjɔ́n,nous sommes assis
e ɖo azɔmɛ,elle est à l'école
mí ɖo azɔmɛ,nous sommes à l'école
e ɖo xwe gbe,elle est à la maison
e su ayihɔn,a demain matin
e wá gbɛ ɖo,elle est née à
un wá gbɛ ɖo,je suis est née à
kɔvɛ̀,covè
e xwè,elle va à
mí xwè,nous allons à
yin tɔn wɛ̀,c'est à moi
é yètɔn wɛ̀,c'est à lui
mitɔn wɛ̀,c'est à vous
yin tɔn wɛ̀,çà m'appartient
é yètɔn wɛ̀,çà lui appartient
mítɔn wɛ̀,çà nous appartient
mɛ ɖo kwɛ,qui a de l'argent
mi kú d'ázɔ̆,merci à vous
nabi mi sa,à combien vendez-vous
nu tɔ ce,a mon père
nǔtɛ́ wa a ɖe ɖo,qu'est-ce que tu fais à
nǔtɛ́ wa mí ɖe ɖo,qu'est-ce que nous faisons à
un lin nuɖe a ɖɔ ɔ kpɔn,j'ai pensé à ce que tu as dit
un xwe,je vais à
mí xwe,nous allons à
e xwe,elle va à
xwe nabi wɛ à ɖo,quel âge as-tu
xwe nabi wɛ é ɖo,quel âge a-t-il
xwe nabi wɛ é ɖo,quel âge a-t-elle
xwe nabi wɛ mi ɖo,quel âge avez-vous
dɔn ɛ dó dò,abaisse-le
e sɔ́ éɖéé hwè,elle s'est rabaissée
mí sɔ́ míɖéé hwè,nous nous sommes rabaissés
gbɛ̀ cé lɛ́ ɖò yiyi tɛ mi wɛ̀,mes camarades m'abandonnent
azɔn zin i d'ɛ́,il est très abattu par la maladie
jijɔhɔn cyɔn toxo ɔ,l'orage s'est abattu sur la ville
lanmɛ ce tlú,je suis abattu
lanmɛ ce tlú,je suis abattue
wùtú cé tlú,je suis abattue
tlú kan nú mì,m'a abattu
e fyɔ́n,elle a pressé
nùtítɛ́,abcès
nùtítɛ́ cè,mon abcès
é zɛ̀,elle a incisé
nù tɛ́ mì,j'ai un abcès
nùtítɛ́ ɔ́ wú sìn,l'abcès a éclaté
wiin ɔ,l'abeille
folo ɔ,la fleur
bi wɛ gble,c'est tout abîmé
é fɛ́n logomɛ,il a la hanche abîmée
kɛkɛ ɔ,le vélo
mi ma hɛn kɛkɛ ɔ gble o,n'abîmez pas le vélo
é nɔ́ y'àvĭ,il pleure
mi nɔ́ y'àvĭ,vous pleurez
é ɖɔ́ kanjɔ soò,il urine du sang abondamment
é nɔ́ y'àvĭ yoò,il pleure abondamment
é nɔ́ y'àvĭ clɛclɛ̀,elle pleure abondamment
jì,pluie
jì ɔ́ ɖò funfun wɛ̀ wɔwɔ̀,la pluie fine tombe abondamment
tɔ ɖò flíflɛ́ wɛ̀,le fleuve coule abondamment
e flá'yĭ,il y en a en abondance
nù nyɔ́ n'í vininì,qu'il ait en abondance
un wá bó nú lɛngbɔ́ lɛ́ ná mɔ̀ gbɛ̀ bó ná mɔ̀ gbɛ dó gbɛ jí,moi je suis venu pour que les brebis aient la vie et qu'elles l'aient en abondance
nu ce mɛ nɔ jí atán,je ressens une abondante salivation
wulɛkpa,salle de bain
xó tɔ́n vɛ́ wŭ ă,il est d'un abord facile
e jɛ̀ age ɖe ɔ jí,il a abordé l'autre rive
mɛ ɖokpó sɛ́ yá mì,quelqu'un m'a abordé
ali,chemin
dèkánmɛ̀,dèkànmè
avùn élɔ́ nɔ́ gbó dín,ce chien aboie beaucoup
e glɔ́n jí,il s'est abrité contre la pluie
nɔ bɛ yɛ̀,abrite le soleil
un jɛ do tɔ̀n,je regrette son absence
hweɖĕbùnu,chaque fois
é ɖò xwé ă,il est absent
mi ɖò xwé ă,vous êtes absents
a wà fí ɔ́,si tu viens ici
kpódó,et
nɔ cé,ma mère
ɖò xwé ă,sont absents
azɔmɛvi,écolière
azɔmɛvi ɖagbe,bon écolière
azɔmɛ,l'école
un gɔ̀n xwé,je me suis absenté de la maison
mí gɔ̀n xwé,nous nous sommes absentés de la maison
un tɔ́n,je suis sorti
e tɔ́n,il est sorti
mi tɔ́n,vous êtes sortis
un na tɔ́n,je vais sortir
mí na tɔ́n,nous allons sortir
a jlŏ dóó à,est-ce que tu y tiens absolument
un ma ɖi xɛsi nú nùɖé,je ne crains rien
mí ma ɖi xɛsi nú nùɖé,nous ne craignons rien
ajòtɔ́ lɛ́,les voleurs
ajòtɔ́,voleuse
é gú mɛ hú gbo'jɔ́,il est absolument inutile
e jɛ́n nɛ́,absolument
e jɛ́n nɛ́,c'est absolument celà
é sɔ́gbe gbánnáná,c'est absolument exact
é sɔ́gbe pɛ́pɛ́pɛ́,c'est absolument exact
e vɔ́ mlɛ́mlɛ́,c'est absolument fini
é zé bì kpétè,il a pris absolument tout
